Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_340, -1.02315892158, 0.112774413615, 0.0110754406701, -1.08809888329, -0.817044574195, -1.08851881339, -1.08370609882, -1.06783783851, -1.06405019572, -0.817044574195
beta_341, 0.0113868529598, 0.000652007347266, 6.00978570301e-05, 0.0105243069692, 0.0119134647003, 0.0105243069692, 0.0112227327374, 0.0113379448867, 0.0117292620501, 0.0124361113516
beta_342, 1.04421619047, 0.0620474843562, 0.00598087185527, 0.927017082273, 1.10986948577, 0.927017082273, 1.05549752518, 1.06014262826, 1.08160470303, 1.11127722176
beta_343, 1.22647285042, 0.0815381569238, 0.0073022856026, 1.18246516902, 1.36225913089, 1.17794561836, 1.1835305551, 1.20907315434, 1.21891810615, 1.36225913089
beta_344, 0.0654897878856, 0.00277457198701, 0.00024881611055, 0.063726601853, 0.0673021108883, 0.0620634819118, 0.0649477275135, 0.0663473100135, 0.0665791432123, 0.0672848763286
beta_345, -0.174308848113, 0.353096915611, 0.0352273037437, -0.921025375452, 0.0138929894067, -0.921025375452, -0.0222722889684, -0.0104776136978, -0.00377870596158, 0.0151397429117
beta_346, 0.461320642303, 0.0837109775845, 0.00669560473062, 0.451202820634, 0.479970882445, 0.451578890356, 0.460692407065, 0.467809258516, 0.472557761622, 0.481876170929
beta_347, 0.304781497027, 0.0135822578172, 0.00125011809004, 0.29138233069, 0.318423867423, 0.291059963632, 0.299193300995, 0.306390919768, 0.309691769483, 0.318423867423
beta_348, 0.567968387191, 0.203561091862, 0.0203768083179, 0.442391137518, 0.991501514041, 0.44057498534, 0.463918075375, 0.485334225656, 0.49198186722, 0.991501514041
beta_349, 2.21534085499, 0.24476104189, 0.023886581408, 1.798689772, 2.3450291905, 1.798689772, 2.30917207247, 2.32276174384, 2.33770688255, 2.34558190817
beta_350, -0.380740456964, 0.112579015684, 0.0109828673496, -0.442692386714, -0.184104281472, -0.443159708027, -0.439020491983, -0.424583284741, -0.420347793929, -0.184104281472
beta_351, -0.0381827710903, 0.0211721589389, 0.00203809901681, -0.0720166234991, -0.0260518669354, -0.0720166234991, -0.0301769292048, -0.0288105461686, -0.0281851686442, -0.0258937069504
beta_352, 0.869450953567, 0.0844924983081, 0.00790457719549, 0.707021582918, 0.956976968163, 0.707021582918, 0.87572237419, 0.882331882346, 0.925922597264, 0.964540110804
beta_353, 0.0475046873266, 0.107891564503, 0.00864058606313, 0.0143718020746, 0.0961814036538, 0.00548583660502, 0.0334316490315, 0.0538083234867, 0.0823137029336, 0.0958632224172
beta_354, -1.35646312777, 0.183519531036, 0.0183844600984, -1.48360961314, -0.984691621942, -1.48554685882, -1.45860780637, -1.43661151123, -1.42621443841, -0.984691621942
beta_355, 0.835505312687, 0.150693452293, 0.0149743529455, 0.5225875544, 0.915337020441, 0.5225875544, 0.902475825275, 0.905399449107, 0.908481124985, 0.915955403648
beta_356, -0.0404191644953, 0.168177087221, 0.0153941741666, -0.354260400878, 0.0422872730591, -0.354260400878, -0.00608095848451, 0.0133202426603, 0.0334503666772, 0.0507987094854
beta_357, -0.334427901803, 0.0130819065723, 0.00115758395625, -0.348110252562, -0.327907121078, -0.348110252562, -0.338561196565, -0.333654146461, -0.33197890383, -0.307923795768
beta_358, -0.204471966667, 0.0139478685056, 0.00112255718989, -0.217694539025, -0.186980565471, -0.218426165441, -0.209298968202, -0.206681371441, -0.203534153973, -0.186980565471
beta_359, 0.0339682766178, 0.0835998166082, 0.0072421523605, -0.0556352823935, 0.069385273598, -0.0556352823935, 0.0436753848611, 0.0554348885966, 0.062444529953, 0.069385273598
beta_360, -0.395151303051, 0.224734147709, 0.0218453806667, -0.508638262442, -0.0050247637887, -0.508638262442, -0.502328788374, -0.493100066929, -0.472219567575, -0.0050247637887
beta_361, 3.42752113517, 0.488042861391, 0.0488102047896, 2.45849341889, 3.69265655209, 2.45849341889, 3.63781564771, 3.6490708, 3.67554362618, 3.69536987481
beta_362, -0.0135959514582, 0.0910733801918, 0.00907308985115, -0.0681805236834, 0.167376361833, -0.0688441135129, -0.0604584019621, -0.0532623686851, -0.0454542035322, 0.167376361833
beta_363, -0.335289724791, 0.0485693772264, 0.00463996742903, -0.36557359838, -0.237411434349, -0.368032465165, -0.359142684241, -0.353607523726, -0.349184788905, -0.237411434349
beta_364, -4.00800734292, 0.227770965276, 0.0195075419438, -4.34184517673, -3.89285673002, -4.34184517673, -3.98946571544, -3.95856415823, -3.93997592868, -3.88842430283
beta_365, 1.56468796408, 0.284107715572, 0.024844700251, 1.42650926084, 1.9979160207, 1.42391457353, 1.45077174141, 1.49159428143, 1.54184489671, 1.9979160207
beta_366, -0.846104315358, 0.0329771861944, 0.00298562906486, -0.883495654446, -0.810185846533, -0.884229920626, -0.864930297274, -0.860764281654, -0.816677680696, -0.810185846533
